recordId,museumId,userId,pointId,arriveTime,leaveTime,staySeconds,totalSeconds ,interactionCount,interactionType,notes
A_B_202503301543_0000_001,A,0,6-2,2025-03-30T15:43:35.026+08:00,2025-03-30T15:43:51.378+08:00,16,,0,觀看展品,
A_B_202503301543_0000_000,A,0,6-3,2025-03-30T15:43:11.810+08:00,2025-03-30T15:43:25.787+08:00,13,,0,"觀看告示牌, 觀看影片",
A_B_202503301543_0000_002,A,0,3-1,2025-03-30T15:43:55.843+08:00,2025-03-30T15:43:59.930+08:00,4,,0,觀看展品,
A_B_202503301543_0000_002,A,0,3-1,2025-03-30T15:43:55.843+08:00,2025-03-30T15:43:59.930+08:00,4,,0,觀看展品,
A_B_202503301543_0000_001,A,0,6-2,2025-03-30T15:43:35.026+08:00,2025-03-30T15:43:51.378+08:00,16,,0,觀看展品,
A_B_202503301543_0000_000,A,0,6-3,2025-03-30T15:43:11.810+08:00,2025-03-30T15:43:25.787+08:00,13,,0,"觀看告示牌, 觀看影片",
A_B_202503301547_0000_003,A,0,1-1,2025-03-30T15:47:00.753+08:00,2025-03-30T15:47:12.322+08:00,11,,0,觀看展品,
A_B_202503311806_0000_000,A,0,5-1,2025-03-31T18:06:38.931+08:00,2025-03-31T18:06:43.655+08:00,4,,0,"觀看告示牌, 互動式投影",
A_B_202503311806_0000_001,A,0,1-1,2025-03-31T18:06:46.985+08:00,2025-03-31T18:06:57.408+08:00,10,,0,其他,iphone
A_B_202504011458_0000_001,A,0,4-4,2025-04-01T14:58:46.693+08:00,2025-04-01T14:58:49.661+08:00,2,,0,"觀看展品, 聆聽音樂",
A_B_202504011458_0000_002,A,0,4-2,2025-04-01T14:58:51.748+08:00,2025-04-01T14:58:53.368+08:00,1,,0,觀看影片,
A_B_202504011631_0000_002,A,0,5-3,2025-04-01T16:31:04.962+08:00,2025-04-01T16:31:06.634+08:00,1,,0,觀看展品,
A_B_202504011631_0000_001,A,0,1-2,2025-04-01T16:31:01.741+08:00,2025-04-01T16:31:03.298+08:00,1,,0,觀看影片,
A_B_202504011631_0000_000,A,0,5-2,2025-04-01T16:30:58.270+08:00,2025-04-01T16:31:00.065+08:00,1,,0,觀看展品,
A_B_202504011631_0000_003,A,0,1-2,2025-04-01T16:31:08.778+08:00,2025-04-01T16:31:10.561+08:00,1,,0,觀看展品,
A_B_202504011839_0000_000,A,0,6-3,2025-04-01T18:39:37.059+08:00,2025-04-01T18:39:45.855+08:00,8,,0,"觸摸模型, 互動式投影, 拍照, 錄音, 錄影, 筆記, 其他",test
A_B_202504011840_0000_001,A,0,6-2,2025-04-01T18:39:55.977+08:00,2025-04-01T18:40:09.568+08:00,13,,0,"觸摸模型, 互動式投影, 拍照, 錄音, 錄影, 筆記, 其他",test
A_B_202504012043_0000_000,A,0,5-5,2025-04-01T20:42:26.100+08:00,2025-04-01T20:43:25.531+08:00,59,,0,"觀看模型, 聆聽音樂",
A_B_202504041133_0000_001,A,0,1-3,2025-04-04T11:33:17.577+08:00,2025-04-04T11:33:19.519+08:00,1,,0,觀看模型,
A_B_202504041133_0000_000,A,0,2-2,2025-04-04T11:33:12.027+08:00,2025-04-04T11:33:16.212+08:00,4,,0,觀看告示牌,
A_B_202504041133_0000_002,A,0,3-1,2025-04-04T11:33:21.611+08:00,2025-04-04T11:33:23.431+08:00,1,,0,觀看告示牌,
